Indonesian,English
aku,I
kau,you
yang,Which
tidak,No
ini,This
itu,That
dan,And
dia,he
di,in
akan,will
apa,What
kita,We
untuk,For
bisa,Can
ada,There is
tak,not
mereka,they
anda,You
tahu,know
dengan,with
saya,I
dari,from
ya,yes
tapi,But
kami,we
ke,to
harus,must
sudah,Already
kamu,You
adalah,is
orang,person
saja,just
seperti,like
ingin,want to
jika,If
pergi,go
hanya,only
semua,all
sekarang,Now
sini,here
jadi,So
dalam,in
bukan,No
baik,Good
bagaimana,How
jangan,Don't
lagi,Again
punya,Have
lebih,more
oh,Oh
pada,on
mungkin,Possible
kalian,you
lakukan,do
karena,Because
sangat,very
satu,One
juga,Also
apakah,is
mau,Want to
pernah,Once
siapa,Who
telah,has
ayo,Come on
hal,matter
saat,moment
kenapa,Why
hari,day
kembali,return
atau,or
datang,come
begitu,so
sesuatu,something
banyak,Lots
benar,Correct
kasih,love
menjadi,become
melihat,see
terjadi,happen
melakukan,do
terima,accept
tentang,about
lihat,Look
seorang,a
bahwa,that
kalau,if
hei,Hey
bagus,Good
bilang,said
masih,Still
oke,Okay
lain,other
sana,there
waktu,time
baiklah,Okay
tempat,place
mana,where
keluar,go out
lalu,Then
malam,Evening
maaf,Sorry
membuat,make
mati,dead
sedang,currently
memiliki,own
tahun,year
sekali,very
sampai,until
anak,child
baru,new
dapat,can
beberapa,a number of
ayah,Father
sendiri,Alone
katakan,say
hidup,life
mengapa,Why
sebuah,A
perlu,need
kan,right
sama,The same
tunggu,Wait
salah,Wrong
semuanya,everything
rumah,House
mengatakan,say
ia,He
ketika,when
masuk,enter
cepat,fast
dengar,hear
besar,big
padaku,To me
disini,here
pikir,think
pasti,Certain
yg,which
ibu,Mother
masalah,problem
benar-benar,truly
belum,Not yet
pak,Sir
bicara,talk
dua,two
tentu,Of course
selamat,Happy
cukup,Enough
selalu,always
tuhan,Lord
suka,Like
yeah,Yeah
seseorang,somebody
melakukannya,do it
pria,man
setelah,after
mengerti,understand
baik-baik,fine
tolong,Help
dimana,Where
bahkan,even
apa-apa,anything
berada,is at
menemukan,find
sedikit,A little
bertemu,meet
mendapatkan,get
percaya,believe
oleh,by
makan,Eat
lama,long
atas,on
ku,my
tinggal,stay
bekerja,Work
terlalu,too
wanita,woman
sebagai,as
padamu,to you
sayang,Darling
kali,time
tetap,still
yakin,Certain
hey,Hey
cara,method
berhenti,stop
jalan,road
