Bangla,English
আমি,I
না,No
তুমি,You
আমার,Mine
কি,What
এটা,This/It
আর,And
তোমার,Yours
আছে,There is
সে,He/She/They
এই,This
আমরা,We
করে,Do
হবে,Will Happen
জন্য,For
আমাদের,Ours
করতে,To do
একটা,One
আমাকে,Me
ঠিক,Right
আপনি,You (formal)
তো,So
তার,His/Her/Their
থেকে,From
কিছু,Something
সাথে,With
কিন্তু,But
এখানে,Here
তোমাকে,You
এখন,Now
কোন,Any
কথা,Talk
মনে,Fondly
যদি,If
এবং,And
হয়,Is
আপনার,Yours
নিয়ে,Take
ছিল,Was
তাকে,Him/Her/Them
তারা,They
নেই,Don't Have
হয়ে,Happens
তাহলে,Then
অনেক,Many
কেন,Why
করা,Do
হ্যাঁ,Yes
করো,Do
তাই,So
সব,All
এক,One
এর,Of
হচ্ছে,Happening
যাও,Go
কাজ,Work
হয়েছে,Have been
ও,And
কে,Who
কাছে,Near
শুধু,Only
একটি,One
স্যার,Sir
দাও,Give
তাদের,Their
ভালো,Good
একজন,One Person
ভাল,Good
জানি,Know
যেতে,Go
দিয়ে,Give
খুব,Very
কোথায়,Where
করবে,Do
যাবে,Go
চাই,Want
পারে,Able
শেষ,End
করার,Do
ধন্যবাদ,Thank you
যখন,While
বলতে,To say
কেউ,Someone
করি,Do
সময়,Time
তুই,You (informal)
গেছে,Gone
বাবা,Father
ওকে,that person
মত,Opinion
সেটা,That
হতে,To
চলে,Leaving
ওহ,Oh
নয়,Nine
একটু,A little
পারি,Can do
দেখতে,See
সবাই,Everyone
আগে,Before
দেখা,See
করছি,Doing
তিনি,He/She/They (formal)
বের,Out
বলে,Say
কর,do
আবার,Again
দিতে,Give
নাম,Name
যায়,Goes
ওর,His/Her/Their
পারবে,Able
নাকি,Or
কিভাবে,How
মধ্যে,In
তোমরা,You
ফিরে,Back
আচ্ছা,Well
সাহায্য,Help
আপনাকে,You
মানুষ,Man
তা,So
মা,Mother
এ,This
করেছে,Did
দিকে,Toward
দরকার,Need
সেই,That
আসলে,In fact
শুরু,Start
ওটা,That
দুঃখিত,Sorry
দিন,Day
চলো,Go
মানে,Meaning
কিন্ত,But
তোর,You
তোমাদের,You (plural)
করছে,Doing
বলছি,Guys
বিশ্বাস,Trust
বন্ধ,Closed
করেছি,Do
এমন,Such
অবশ্যই,Of Course
নিজের,Own
কারণ,Cause
বড়,Great
করবো,I will
বেশি,More
বছর,Year
উপর,Over
যাচ্ছে,Go
আসো,Come
চেষ্টা,Attempt
তারপর,After
হল,Hall
হয়,Is
এসব,These are
দেখো,See
কোনো,Any
আছি,Here
টাকা,Money
যাচ্ছি,Going
জানো,Know
বুঝতে,Understanding
আজ,Today
ছিলো,Was
বলো,Say
মতো,Like
ধরে,On
কখনো,Ever
খারাপ,Bad
কেমন,How
প্লিজ,Please
মারা,Kill
পছন্দ,Choice
সেখানে,There
চাও,Want
নাও,Take
সমস্যা,Problem
দেখে,Seeing
পর,After
থাকে,Stays
এখনো,Still
সুন্দর,Beautiful
তখন,Then
ভুল,Wrong
ভাই,Brother
ওখানে,There
পর্যন্ত,Up to
করব,Do
নতুন,New
পরে,After
থাকতে,In place
ওরা,Them
যাই,Go
অন্য,Another
হলো,Is
খুঁজে,Find
ভয়,Fear
ব্যাপারে,With respect to
ছেড়ে,Leave
আরো,More
নিতে,To take
থাকবে,Remain
করুন,Do
লোক,people
ফোন,Phone
বন্ধু,Friend
হাত,Hand
লাগবে,Need
এসো,Come
ওই,That
যেন,Like
সত্যি,True
জীবন,Life
বল,Ball
চিন্তা,Thought
সম্পর্কে,About
ছেলে,Son
এত,So much
যেটা,That
সামনে,In front
জিনিস,Thing
খুবই,Very
পারবো,I can
এটি,This
হ্যালো,Hello
ছিলাম,Was
অপেক্ষা,Waiting
করবেন,Do
সবকিছু,Everything
উচিত,Right thing
ব্যাপার,Matter
নিচে,Down
থাকো,Stay
পারো,Can
নিশ্চিত,Confirmed
এসেছে,Arrived
বা,Or/Left
প্রথম,First
এখান,Here
জলদি,Fast
কত,How much
জানতে,Know
মেয়ে,Girl
আসবে,Come
হও,Be
এসে,Come
এরকম,Like
ওদের,Them
দুই,Two
দেখ,View
তৈরি,Developed
জন,Man
পারেন,Can
ছাড়া,Except
হাতে,In hand
সবচেয়ে,Most
হয়তো,Maybe
আসছে,Coming
একদম,At all
নাই,No
লাগছে,Perceive
যাক,Let go
মেরে,Beating
সত্যিই,Truly
বাইরে,Outside
বেশ,Okay
আসতে,Come
গুলি,Bullet/Fire
বলা,Tell
এটার,Related to this
এসেছি,Come
পড়ে,Fall
পুরো,Full
যান,Go
এগুলো,These
ছোট,Small
দিয়েছে,Give
আমিও,Me too
সবসময়,Always
চল,Go
পেয়েছি,Received
মিনিট,Minute
চায়,Want
মজা,Fun
আশা,Hope
গিয়ে,Go
বলেছে,Said
তোকে,You
যেখানে,Where
এবার,This time
আরও,More
থামো,Stop
পুলিশ,Policeman
কাউকে,Someone
যাবো,Leaving
হোক,Let it happen
নিজেকে,Ownself
পারব,Can
যারা,Those who
শুনতে,Listen
মানুষের,Man
